#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T11:00:53 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T11:00:53	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=50	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
 61941	12 41 40.00	-01 26 58.3	 2.74	190.41667557	-01.44952231	  84.53	 -616.66	   60.66	  1.18	      	      	 0.368	 	190.41517626	-01.44937487
 62322	12 46 16.87	-68 06 29.1	 3.04	191.57029013	-68.10809405	  10.48	  -40.40	  -10.32	  0.65	 2.863	 3.052	-0.178	 	191.57002677	-68.10811913
 63090	12 55 36.48	+03 23 51.4	 3.39	193.90201366	+03.39759862	  16.11	 -471.44	  -52.81	  0.88	 5.405	 3.601	 1.571	P	193.90086578	+03.39747026
 63125	12 56 01.84	+38 19 05.7	 2.89	194.00767051	+38.31824617	  29.60	 -233.43	   54.98	  1.04	 2.810	 2.874	-0.115	P	194.00694736	+38.31837980
 63608	13 02 10.76	+10 57 32.8	 2.85	195.54483557	+10.95910186	  31.90	 -275.05	   19.96	  0.87	 4.033	 2.947	 0.934	 	195.54415463	+10.95915037
 63613	13 02 15.78	-71 32 55.7	 3.61	195.56573968	-71.54879865	  35.91	  263.58	  -23.28	  0.73	 5.153	 3.744	 1.190	 	195.56776386	-71.54885522
 64962	13 18 55.25	-23 10 17.1	 2.99	199.73022240	-23.17141246	  24.69	   68.41	  -41.09	  0.70	 4.157	 3.096	 0.920	 	199.73040326	-23.17151233
 65109	13 20 36.07	-36 42 43.5	 2.75	200.15027321	-36.71208109	  55.64	 -340.76	  -87.98	  0.74	 2.837	 2.761	 0.068	 	200.14924004	-36.71229493
 65378	13 23 55.42	+54 55 31.5	 2.23	200.98091604	+54.92541525	  41.73	  121.23	  -22.01	  0.61	 2.290	 2.227	 0.057	 	200.98142880	+54.92536175
 65477	13 25 13.42	+54 59 16.8	 3.99	201.30589832	+54.98799884	  40.19	  120.35	  -16.94	  0.57	 4.225	 4.023	 0.169	 	201.30640816	+54.98795767
 65936	13 31 02.67	-39 24 26.2	 3.90	202.76111861	-39.40727983	   2.60	  -15.65	  -11.25	  0.75	 5.421	 4.026	 1.186	 	202.76106938	-39.40730717
 66249	13 34 41.75	-00 35 45.4	 3.38	203.67397800	-00.59593821	  44.55	 -278.89	   48.56	  0.90	 3.537	 3.392	 0.114	 	203.67330011	-00.59582018
 66657	13 39 53.27	-53 27 58.9	 2.29	204.97196962	-53.46636269	   8.68	  -14.60	  -12.79	  0.77	 2.051	 2.247	-0.171	P	204.97191001	-53.46639378
 67464	13 49 30.30	-41 41 15.6	 3.41	207.37623920	-41.68765971	   6.87	  -26.01	  -20.38	  0.77	 3.134	 3.369	-0.225	P	207.37615454	-41.68770924
 67472	13 49 37.01	-42 28 25.3	 3.47	207.40419934	-42.47368506	   6.19	  -23.85	  -19.22	  0.71	 3.223	 3.437	-0.170	 	207.40412075	-42.47373178
 67927	13 54 41.12	+18 23 54.9	 2.68	208.67131750	+18.39858742	  88.17	  -60.95	 -358.10	  0.75	 3.418	 2.748	 0.580	 	208.67116138	+18.39771704
 68002	13 55 32.43	-47 17 17.8	 2.55	208.88514539	-47.28826634	   8.48	  -57.14	  -44.75	  0.74	 2.295	 2.497	-0.176	P	208.88494064	-47.28837511
 68245	13 58 16.28	-42 06 02.5	 3.83	209.56785278	-42.10070526	   7.01	  -23.68	  -19.82	  0.67	 3.557	 3.785	-0.224	 	209.56777521	-42.10075343
 68282	13 58 40.77	-44 48 12.7	 3.87	209.66988070	-44.80353140	   7.81	  -27.97	  -21.69	  0.70	 3.599	 3.822	-0.208	 	209.66978489	-44.80358412
 68756	14 04 23.43	+64 22 32.9	 3.67	211.09760837	+64.37580873	  10.56	  -56.52	   17.19	  0.52	 3.609	 3.644	-0.049	 	211.09729071	+64.37585051
 68895	14 06 22.27	-26 40 55.3	 3.25	211.59278733	-26.68201883	  32.17	   43.05	 -140.82	  0.77	 4.699	 3.382	 1.091	 	211.59290444	-26.68236110
 68933	14 06 41.32	-36 22 07.3	 2.06	211.67218608	-36.36869575	  53.52	 -519.29	 -517.87	  0.79	 3.384	 2.190	 1.011	 	211.67061857	-36.36995445
 69996	14 19 24.23	-46 03 29.1	 3.55	214.85096972	-46.05808391	   9.27	  -12.81	   -3.79	  0.78	 3.329	 3.519	-0.184	 	214.85092485	-46.05809312
 71053	14 31 49.86	+30 22 16.1	 3.57	217.95774098	+30.37114497	  21.92	 -100.44	  120.22	  0.81	 5.271	 3.722	 1.298	 	217.95745802	+30.37143717
 71075	14 32 04.76	+38 18 28.4	 3.04	218.01982421	+38.30788348	  38.29	 -115.55	  151.87	  0.73	 3.290	 3.062	 0.191	P	218.01946630	+38.30825261
 71352	14 35 30.45	-42 09 27.9	 2.33	218.87688163	-42.15774562	  10.57	  -35.31	  -32.44	  0.83	 2.124	 2.306	-0.157	P	218.87676586	-42.15782447
 71795	14 41 08.92	+13 43 42.0	 3.78	220.28716819	+13.72833113	  18.07	   52.36	  -12.71	  1.24	 3.863	 3.799	 0.044	 	220.28729920	+13.72830024
 71860	14 41 55.77	-47 23 17.3	 2.30	220.48239101	-47.38814127	   5.95	  -21.15	  -24.22	  0.76	 2.083	 2.260	-0.154	P	220.48231508	-47.38820014
 71908	14 42 30.69	-64 58 28.5	 3.18	220.62785433	-64.97456957	  60.97	 -192.64	 -234.07	  0.58	 3.502	 3.211	 0.256	 	220.62674745	-64.97513849
 71957	14 43 03.56	-05 39 26.7	 3.87	220.76484284	-05.65742910	  53.54	  104.23	 -319.90	  0.95	 4.331	 3.914	 0.385	 	220.76509742	-05.65820663
 72105	14 44 59.25	+27 04 27.0	 2.35	221.24687869	+27.07417383	  15.55	  -50.65	   20.00	  0.78	 3.562	 2.470	 0.966	 	221.24674043	+27.07422244
 72220	14 46 14.99	+01 53 34.6	 3.73	221.56246594	+01.89293830	  25.35	 -116.04	  -21.75	  0.87	 3.735	 3.730	-0.005	 	221.56218374	+01.89288544
 72370	14 47 51.73	-79 02 41.0	 3.83	221.96552567	-79.04471242	   7.93	   -5.67	  -15.75	  0.53	 5.697	 3.980	 1.433	 	221.96545315	-79.04475070
 72607	14 50 42.40	+74 09 19.7	 2.07	222.67664751	+74.15547596	  25.79	  -32.29	   11.91	  0.52	 4.015	 2.238	 1.465	 	222.67636006	+74.15550491

