#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T10:54:22 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T10:54:22	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=unlimited	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
102098	20 41 25.91	+45 16 49.2	 1.25	310.35797270	+45.28033423	   1.01	    1.56	    1.55	  0.57	 1.471	 1.343	 0.092	P	310.35797809	+45.28033800
109268	22 08 13.88	-46 57 38.2	 1.73	332.05781838	-46.96061593	  32.16	  127.60	 -147.91	  0.82	 1.675	 1.757	-0.070	 	332.05827280	-46.96097543
113368	22 57 38.83	-29 37 18.6	 1.17	344.41177323	-29.62183701	 130.08	  329.22	 -164.22	  0.92	 1.407	 1.248	 0.145	 	344.41269372	-29.62223615
  7588	01 37 42.75	-57 14 12.0	 0.45	024.42813204	-57.23666007	  22.68	   88.02	  -40.08	  0.57	 0.458	 0.522	-0.158	P	024.42852736	-57.23675749
 11767	02 31 47.08	+89 15 50.9	 1.97	037.94614689	+89.26413805	   7.56	   44.22	  -11.74	  0.48	 2.756	 2.067	 0.636	P	037.95451535	+89.26410951
 15863	03 24 19.35	+49 51 40.5	 1.79	051.08061889	+49.86124281	   5.51	   24.11	  -26.01	  0.66	 2.418	 1.866	 0.481	P	051.08070979	+49.86117959
 21421	04 35 55.20	+16 30 35.1	 0.87	068.98000195	+16.50976164	  50.09	   62.78	 -189.36	  0.95	 2.937	 1.160	 1.538	 	068.98016110	+16.50930139
 24436	05 14 32.27	-08 12 05.9	 0.18	078.63446353	-08.20163919	   4.22	    1.87	   -0.56	  0.81	 0.312	 0.283	-0.030	 	078.63446812	-08.20164055
 24608	05 16 41.30	+45 59 56.5	 0.08	079.17206517	+45.99902927	  77.29	   75.52	 -427.13	  0.89	      	      	 0.795	P	079.17232940	+45.99799111
 25336	05 25 07.87	+06 20 59.0	 1.64	081.28278416	+06.34973451	  13.42	   -8.75	  -13.28	  0.98	 1.468	 1.629	-0.224	 	081.28276276	+06.34970223
 25428	05 26 17.50	+28 36 28.3	 1.65	081.57290804	+28.60787346	  24.89	   23.28	 -174.22	  0.88	 1.605	 1.670	-0.130	 	081.57297249	+28.60745001
 26311	05 36 12.81	-01 12 06.9	 1.69	084.05338572	-01.20191725	   2.43	    1.49	   -1.06	  0.91	 1.553	 1.692	-0.184	 	084.05338934	-01.20191983
 26727	05 40 45.52	-01 56 33.3	 1.74	085.18968672	-01.94257841	   3.99	    3.99	    2.54	  0.79	 1.566	 1.697	-0.199	P	085.18969642	-01.94257224
 27989	05 55 10.29	+07 24 25.3	 0.45	088.79287161	+07.40703634	   7.63	   27.33	   10.86	  1.64	 2.849	 0.769	 1.500	P	088.79293860	+07.40706274
 28360	05 59 31.77	+44 56 50.8	 1.90	089.88237261	+44.94743492	  39.72	  -56.41	   -0.88	  0.78	 1.989	 1.904	 0.077	 	089.88217889	+44.94743278
 30324	06 22 41.99	-17 57 21.3	 1.98	095.67494750	-17.95591658	   6.53	   -3.45	   -0.47	  0.66	 1.747	 1.933	-0.240	 	095.67493869	-17.95591772
 31681	06 37 42.70	+16 23 57.9	 1.93	099.42792641	+16.39941482	  31.12	   -2.04	  -66.92	  2.33	      	 2.024	 0.001	D	099.42792124	+16.39925217
 33579	06 58 37.55	-28 58 19.5	 1.50	104.65644451	-28.97208931	   7.57	    2.63	    2.29	  0.57	 1.350	 1.500	-0.211	 	104.65645182	-28.97208374
 34444	07 08 23.49	-26 23 35.5	 1.83	107.09785853	-26.39320776	   1.82	   -2.75	    3.33	  0.56	 2.704	 1.913	 0.671	 	107.09785107	-26.39319967
 36850	07 34 36.00	+31 53 19.1	 1.58	113.65001898	+31.88863645	  63.27	 -206.33	 -148.18	  1.23	      	      	 0.034	 	113.64942834	+31.88827629
 37279	07 39 18.54	+05 13 39.0	 0.40	114.82724194	+05.22750767	 285.93	 -716.57	-1034.58	  0.88	      	      	 0.432	D	114.82549301	+05.22499306
 37826	07 45 19.36	+28 01 34.7	 1.16	116.33068263	+28.02631031	  96.74	 -625.69	  -45.95	  0.87	 2.455	 1.325	 0.991	 	116.32895983	+28.02619862
 39953	08 09 31.96	-47 20 11.8	 1.75	122.38314727	-47.33661177	   3.88	   -5.93	    9.90	  0.53	 1.627	 1.793	-0.145	 	122.38312600	-47.33658771
 41037	08 22 30.86	-59 30 34.3	 1.86	125.62860299	-59.50953829	   5.16	  -25.34	   22.72	  0.49	 3.496	 2.080	 1.196	P	125.62848160	-59.50948307
 42913	08 44 42.20	-54 42 30.8	 1.93	131.17582214	-54.70856797	  40.90	   28.78	 -104.14	  0.38	 2.050	 1.949	 0.043	 	131.17594322	-54.70882109
 45238	09 13 12.24	-69 43 02.9	 1.67	138.30100329	-69.71747245	  29.34	 -157.66	  108.91	  0.47	 1.746	 1.675	 0.070	 	138.29989786	-69.71720773
 46390	09 27 35.25	-08 39 31.3	 1.99	141.89688260	-08.65868335	  18.40	  -14.49	   33.25	  0.78	 3.904	 2.161	 1.440	 	141.89684698	-08.65860253
 49669	10 08 22.46	+11 58 01.9	 1.36	152.09358075	+11.96719513	  42.09	 -249.40	    4.91	  0.79	 1.360	 1.399	-0.087	 	152.09296110	+11.96720706
 54061	11 03 43.84	+61 45 04.0	 1.81	165.93265365	+61.75111888	  26.38	 -136.46	  -35.25	  0.53	 3.185	 1.934	 1.061	 	165.93195289	+61.75103320

