#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T11:03:46 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T11:03:46	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=50	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
 86731	17 43 21.64	+24 19 39.5	 5.73	265.84016161	+24.32764591	  26.13	 -116.66	   72.26	  0.63	 6.554	 5.807	 0.683	 	265.83985043	+24.32782154
 86736	17 43 25.85	-21 40 59.1	 4.86	265.85772897	-21.68308566	  57.00	  -97.93	  -44.57	  0.79	 5.413	 4.918	 0.469	 	265.85747282	-21.68319399
 86782	17 43 59.16	+53 48 06.3	 5.75	265.99651272	+53.80175482	   7.90	   13.32	  -16.35	  0.48	 5.770	 5.752	 0.017	 	265.99656754	+53.80171508
 86796	17 44 08.72	-51 50 00.9	 5.12	266.03632110	-51.83358836	  65.46	  -15.06	 -191.17	  0.80	 5.984	 5.198	 0.694	 	266.03626186	-51.83405301
 86847	17 44 42.01	-42 43 45.5	 5.87	266.17502411	-42.72930009	  12.12	    5.18	   -0.97	  0.95	 6.066	 5.896	 0.163	 	266.17504125	-42.72930245
 86871	17 44 55.84	-57 32 43.8	 5.97	266.23268300	-57.54551015	   8.03	   18.09	  -12.25	  0.78	 7.122	 6.071	 0.912	 	266.23276494	-57.54553992
 87044	17 47 08.04	+17 41 49.3	 5.61	266.78349746	+17.69704078	   8.86	   11.07	  -11.19	  0.82	 5.665	 5.625	 0.036	 	266.78352570	+17.69701358
 87072	17 47 33.63	-27 49 50.7	 4.53	266.89011276	-27.83076255	   3.03	   -3.62	  -10.67	  0.94	 5.452	 4.638	 0.600	 	266.89010281	-27.83078848
 87074	17 47 36.79	-14 43 32.8	 5.93	266.90330267	-14.72578118	   6.39	  -22.19	  -17.58	  0.86	 5.944	 5.935	 0.009	 	266.90324690	-14.72582391
 87158	17 48 24.75	+20 33 55.5	 5.69	267.10313561	+20.56542749	  13.04	   25.03	    5.52	  0.68	 6.897	 5.799	 0.938	 	267.10320059	+20.56544091
 87194	17 48 49.15	+25 37 22.7	 5.09	267.20478791	+25.62296216	  15.94	   -3.67	  -38.51	  0.61	 6.579	 5.226	 1.141	 	267.20477802	+25.62286856
 87212	17 49 04.33	+50 46 50.0	 5.02	267.26805764	+50.78054478	  15.03	  -51.89	  218.15	  0.47	 5.072	 5.025	 0.043	 	267.26785817	+50.78107501
 87220	17 49 10.47	-31 42 11.5	 4.79	267.29363880	-31.70318435	   5.37	    4.22	   -7.89	  0.78	 4.752	 4.802	-0.028	 	267.29365086	-31.70320353
 87234	17 49 26.94	+76 57 44.2	 5.02	267.36223704	+76.96227797	  31.13	   37.33	  247.98	  0.47	 5.636	 5.083	 0.518	 	267.36263926	+76.96288070
 87294	17 50 11.11	-40 05 25.5	 4.78	267.54629170	-40.09042823	   0.88	    3.63	   -2.73	  0.65	 5.098	 4.837	 0.259	 	267.54630323	-40.09043487
 87308	17 50 22.87	+29 19 19.3	 5.51	267.59529976	+29.32202669	  12.23	   30.88	   47.88	  0.56	 6.895	 5.639	 1.071	 	267.59538584	+29.32214306
 87314	17 50 28.39	-53 36 44.6	 5.68	267.61829297	-53.61238082	   3.96	    2.43	  -10.42	  0.94	 5.546	 5.661	-0.099	W	267.61830293	-53.61240615
 87390	17 51 32.57	-40 46 20.4	 5.94	267.88572115	-40.77232768	   4.42	  -51.34	  -55.00	  0.83	 7.964	 6.135	 1.572	P	267.88555638	-40.77246136
 87393	17 51 35.47	-60 09 50.5	 5.78	267.89779898	-60.16401809	   8.79	   -0.14	  -15.69	  0.71	 7.062	 5.886	 1.008	 	267.89779830	-60.16405623
 87460	17 52 13.66	-34 47 57.1	 5.88	268.05691299	-34.79918358	   3.93	    3.29	   -5.35	  0.87	 5.737	 5.868	-0.111	P	268.05692273	-34.79919658
 87472	17 52 19.76	-34 25 00.6	 5.84	268.08233216	-34.41683044	   4.38	    3.35	   -4.86	  0.92	 7.267	 5.966	 1.129	 	268.08234203	-34.41684225
 87491	17 52 35.46	+01 18 18.2	 5.91	268.14776351	+01.30504981	   9.30	  -32.72	  -14.91	  0.87	 7.982	 6.105	 1.573	 	268.14768396	+01.30501357
 87558	17 53 14.26	+06 06 04.5	 5.77	268.30941640	+06.10125423	  31.87	 -127.82	   69.89	  0.77	 6.286	 5.815	 0.425	 	268.30910396	+06.10142410
 87563	17 53 18.02	+40 00 28.2	 5.17	268.32509092	+40.00783707	   8.97	    7.85	   50.36	  0.53	 6.719	 5.304	 1.166	 	268.32511583	+40.00795947
 87569	17 53 23.47	-34 53 42.4	 5.58	268.34779437	-34.89510976	   3.09	    2.38	   -6.15	  2.96	 6.997	 5.714	 1.098	 	268.34780142	-34.89512471
 87616	17 53 54.77	-34 45 09.8	 6.00	268.47821519	-34.75270986	   3.23	    2.45	   -4.70	  0.83	      	      	-0.060	 	268.47822244	-34.75272128
 87728	17 55 11.14	+72 00 18.5	 5.43	268.79640765	+72.00513388	   4.51	    8.03	   -2.92	  0.51	 5.815	 5.456	 0.340	 	268.79647083	+72.00512678
 87747	17 55 25.19	+26 02 59.9	 5.47	268.85494207	+26.04997848	   1.02	    4.39	    4.97	  0.59	 5.891	 5.508	 0.341	 	268.85495395	+26.04999056
 87777	17 55 50.81	+22 27 51.2	 5.62	268.96171591	+22.46422113	   6.67	   -2.11	   -0.17	  0.63	 7.240	 5.756	 1.249	 	268.96171036	+22.46422072
 87812	17 56 18.40	+00 40 13.3	 5.82	269.07667921	+00.67035571	   3.93	   -3.72	   -0.36	  0.97	 5.897	 5.839	 0.058	 	269.07667017	+00.67035483
 87813	17 56 19.04	-15 48 44.5	 5.93	269.07933864	-15.81236072	  13.11	   -9.61	  -66.17	  0.98	 5.988	 5.933	 0.024	 	269.07931436	-15.81252155
 87836	17 56 41.82	-28 03 55.3	 5.76	269.17424596	-28.06534940	  19.87	   31.86	  -18.17	  0.77	 6.020	 5.807	 0.207	 	269.17433372	-28.06539356
 87846	17 56 47.43	-44 20 31.9	 4.85	269.19760682	-44.34219871	   9.39	   -3.19	  -19.50	  0.81	 6.407	 4.989	 1.176	 	269.19759598	-44.34224611
 87847	17 56 47.75	-04 04 54.5	 5.44	269.19895085	-04.08180189	   7.66	   -5.52	   -8.86	  0.71	 6.945	 5.576	 1.162	 	269.19893740	-04.08182342

