#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T11:05:16 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T11:05:16	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=50	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
115880	23 28 40.17	+39 37 08.6	 7.67	352.16739208	+39.61904371	  13.63	  124.75	   -6.42	  0.86	 8.235	 7.726	 0.500	 	352.16778571	+39.61902811
115887	23 28 45.52	+42 24 40.7	 7.78	352.18968254	+42.41131689	   3.65	   -8.15	   -4.34	  0.85	 7.963	 7.798	 0.158	 	352.18965571	+42.41130634
115891	23 28 46.26	-00 50 07.2	 7.87	352.19275471	-00.83532822	  12.27	 -130.62	 -111.20	  1.44	 8.441	 7.925	 1.000	 	352.19243720	-00.83559850
115892	23 28 46.70	-05 23 21.8	 6.99	352.19458213	-05.38937696	   2.43	   -6.69	  -18.23	  0.93	 8.954	 7.150	 1.502	 	352.19456580	-05.38942127
115893	23 28 49.16	-59 26 11.7	 7.15	352.20485273	-59.43658979	   2.42	   12.34	   -0.92	  0.73	 8.903	 7.292	 1.349	 	352.20491171	-59.43659203
115894	23 28 49.34	+72 13 47.9	 7.74	352.20558236	+72.22997505	  17.59	   57.56	   85.25	  0.62	 8.313	 7.781	 0.499	 	352.20604077	+72.23018225
115896	23 28 49.75	+31 47 46.3	 7.48	352.20727767	+31.79620720	   3.99	   16.92	   -3.59	  0.92	 8.092	 7.542	 0.541	 	352.20732606	+31.79619847
115899	23 28 51.98	+53 40 00.5	 6.94	352.21657182	+53.66680101	   5.47	   56.82	    9.37	  0.70	 8.278	 7.053	 1.074	 	352.21680492	+53.66682378
115902	23 28 57.67	+75 13 31.6	 6.65	352.24027466	+75.22543126	   3.07	  -17.67	   -2.94	  0.61	 6.660	 6.659	 0.011	 	352.24010625	+75.22542411
115906	23 29 00.69	-09 15 57.7	 6.20	352.25287320	-09.26603962	   1.48	  -43.49	  -26.51	  0.93	 8.052	 6.344	 1.438	 	352.25276610	-09.26610405
115907	23 29 00.80	-44 29 52.9	 6.43	352.25331359	-44.49803575	   6.12	   37.63	  -13.37	  0.74	 7.966	 6.568	 1.177	 	352.25344182	-44.49806825
115910	23 29 02.22	+16 00 45.2	 7.11	352.25924647	+16.01254578	   5.52	   -0.26	    0.21	  0.87	 7.211	 7.113	 0.080	 	352.25924581	+16.01254629
115915	23 29 05.70	+23 02 53.8	 6.45	352.27374695	+23.04829000	   6.27	  -34.14	  -84.94	  0.69	 7.854	 6.576	 1.088	 	352.27365677	+23.04808355
115916	23 29 06.46	-28 15 50.0	 7.66	352.27692125	-28.26389301	   4.48	  -26.22	  -29.06	  1.12	 8.211	 7.712	 0.465	 	352.27684889	-28.26396364
115921	23 29 10.81	+31 42 17.5	 7.92	352.29505167	+31.70485803	   0.94	   14.18	    3.38	  0.89	 9.564	 8.030	 1.289	 	352.29509218	+31.70486625
115928	23 29 16.32	-85 42 33.8	 7.42	352.31801170	-85.70940010	   1.40	    4.99	   -9.12	  0.75	 8.291	 7.188	 0.951	 	352.31817381	-85.70942227
115930	23 29 16.92	-54 30 05.2	 6.53	352.32049093	-54.50144011	   5.49	    8.48	   11.68	  0.71	 7.900	 6.646	 1.072	 	352.32052642	-54.50141172
115931	23 29 17.04	+42 21 36.3	 7.68	352.32099269	+42.36009617	   2.50	    4.00	   -0.49	  8.51	 7.569	 7.674	-0.078	G	352.32100585	+42.36009498
115934	23 29 21.00	+25 48 43.5	 7.92	352.33749279	+25.81208936	   3.84	    9.55	   -0.77	  0.88	 9.399	 8.033	 1.157	 	352.33751857	+25.81208749
115941	23 29 25.71	-24 02 19.2	 7.71	352.35710897	-24.03866110	   5.39	    6.22	   10.74	  0.94	 7.951	 7.742	 0.200	 	352.35712552	-24.03863500
115942	23 29 25.79	-52 40 42.8	 6.80	352.35747594	-52.67856620	   7.03	   41.83	   -4.56	  0.80	 8.011	 6.904	 0.955	 	352.35764363	-52.67857728
115944	23 29 26.93	+46 27 53.8	 6.88	352.36222432	+46.46494539	   4.68	   14.97	  -12.15	  0.69	 7.041	 6.904	 0.132	 	352.36227714	+46.46491586
115945	23 29 27.00	-01 47 28.2	 6.35	352.36248095	-01.79115943	   3.53	  -14.39	  -22.00	  0.89	 7.803	 6.462	 1.125	 	352.36244596	-01.79121290
115949	23 29 28.82	+30 25 58.3	 7.67	352.37008305	+30.43286660	   2.30	  -15.91	  -54.57	  0.84	 9.013	 7.813	 1.027	 	352.37003820	+30.43273396
115951	23 29 30.32	-01 02 09.0	 6.88	352.37635363	-01.03582677	  25.33	  -12.54	  -30.18	  1.00	 7.646	 6.955	 0.620	 	352.37632315	-01.03590012
115952	23 29 31.26	+51 41 06.8	 7.68	352.38025753	+51.68523039	   1.11	   -2.18	   -5.72	  0.91	 9.873	 7.983	 1.603	 	352.38024898	+51.68521649
115953	23 29 31.98	-04 31 55.9	 6.26	352.38323384	-04.53218332	  20.44	  179.73	 -231.95	  0.86	 7.709	 6.386	 1.123	 	352.38367205	-04.53274709
115956	23 29 36.02	+38 38 36.1	 7.35	352.40010075	+38.64337438	   1.80	    7.33	    1.01	  0.89	 9.654	 7.578	 1.757	 	352.40012356	+38.64337683
115959	23 29 36.73	+48 22 51.5	 7.97	352.40305357	+48.38096174	   0.95	   -3.40	   -5.43	  1.07	 7.907	 7.956	-0.040	 	352.40304113	+48.38094854
115963	23 29 39.29	+49 06 25.7	 7.74	352.41369680	+49.10714529	   2.59	   -5.03	   -0.60	  0.94	 8.916	 7.835	 0.935	 	352.41367812	+49.10714383
115975	23 29 50.11	-45 53 37.6	 7.88	352.45880197	-45.89377485	  10.19	   49.37	  -80.31	  1.13	 8.389	 7.927	 0.425	 	352.45897438	-45.89397005
115979	23 29 52.70	+35 00 50.5	 7.53	352.46959647	+35.01403966	   2.11	   -4.48	   -5.38	  0.96	 9.779	 7.722	 1.703	 	352.46958317	+35.01402658
115982	23 29 54.31	+24 46 20.6	 7.22	352.47630852	+24.77237555	   5.48	  -18.89	  -22.72	  0.75	 8.515	 7.323	 1.021	 	352.47625795	+24.77232033
115984	23 29 55.90	+01 09 49.5	 7.98	352.48289733	+01.16375297	   5.46	   16.57	    0.00	  1.10	 9.171	 8.089	 0.936	 	352.48293761	+01.16375297

